time,odom_x,odom_y,odom_theta,est_x,est_y,est_theta,diff,rate_of_change,expected_change,particle_std_x,particle_std_y,particle_std_theta,linear_vel,angular_vel,anomaly_detected,attack_active
1757357344.1413207,0.7565832613477006,-2.28279698880764,-2.3691,0.7365906764710962,-2.3153527206903175,-2.3751337387592604,0.03867796700810441,0.7079063794067878,0.01462554931640625,0.0748101217755233,0.024592903520146783,0.07435985183033411,0.5,0.0,1,1
1757357344.175557,0.7630148618872151,-2.2762812155355134,-2.3554,0.74721461155285,-2.3191788897361696,-2.3506842032525728,0.04595755760935618,0.5517923996343024,0.014930963516235352,0.07878779732858764,0.02422502376824519,0.0865211881034541,0.5,0.0,1,1
1757357344.2090745,0.7660426185626886,-2.2729839137873555,-2.3421,0.7535012638260208,-2.321749340854971,-2.338059966596146,0.05051410026539239,0.4659504644328,0.015058636665344238,0.08121172003692162,0.024664790964964,0.08210195071632682,0.5,0.0,1,1
1757357344.2515678,0.7720671514497999,-2.266465669353127,-2.3312,0.7715560888675236,-2.3218058252567353,-2.3305377872657838,0.05534647744982553,0.3690384790371902,0.019045114517211914,0.08027504955751129,0.024058396763440446,0.0804490817949208,0.5,0.0,1,1
1757357344.2755241,0.7763883788657391,-2.261711143842684,-2.3282,0.7699138409185512,-2.3203154774208934,-2.3217459819448956,0.05931308375755915,0.3245844248931316,0.010922789573669434,0.07126281444189757,0.023518218518151154,0.07167222722675437,0.5,0.0,1,1
1757357344.3077586,0.7712883676239164,-2.2673859189990315,-2.3252,0.7685407647177969,-2.32117770253318,-2.3202517386478068,0.054088728843669706,0.2750056772263381,0.014905810356140137,0.06919921214986194,0.022635861069785976,0.06610444733679632,0.5,0.0,1,1
1757357344.344696,0.7713108533794467,-2.2673675721746016,-2.3214,0.7689300743218503,-2.315748494450322,-2.315820053660628,0.04875979440400334,0.1150875495274354,0.016509652137756348,0.06226433173780676,0.02225915150172773,0.06108177354288416,0.5,0.0,1,1
1757357344.3754277,0.7713327871775099,-2.267349858835218,-2.318,0.7703424622561063,-2.3132067630395365,-2.3172300361377047,0.04587405858438134,0.1260128288351623,0.013491153717041016,0.05921722418394395,0.021513819150140206,0.05938725201404545,0.5,0.0,1,1
1757357344.409253,0.7547590452623084,-2.285430577283509,-2.3172,0.7643869886185995,-2.313738830248175,-2.320942007828336,0.03013398582615322,0.8121923295189762,0.01510763168334961,0.05694725655988477,0.021679114111343267,0.05682482994912226,0.5,0.0,1,1
1757357344.4427586,0.7453758487374512,-2.295667956117197,-2.3192,0.7743420224560111,-2.304789207522053,-2.3260403837055925,0.031129203271592337,0.4712714252054429,0.014885544776916504,0.10525011953795566,0.022362608378518195,0.1097604664032788,0.5,0.0,1,1
