time,odom_x,odom_y,odom_theta,lidar_x,lidar_y,est_x,est_y,est_theta,diff,rate_of_change,expected_change,covariance_trace,linear_vel,angular_vel,anomaly_detected,attack_active
1757356698.7661188,0.006883475412635116,-0.0063461192819736865,-0.7461,0.0,0.0,0.09057428690264968,-0.001974971023363269,-0.746226972229245,0.19672332246983942,0.07694369892053779,0.01680290699005127,0.06655540111216668,0.5,0.0,0,0
1757356698.8036397,0.018320789955369513,-0.016923183186351616,-0.7454,0.0,0.0,0.11764814212588161,-0.004425685026253429,-0.7461452648473181,0.24612100857802,0.4167529733740474,0.01870906352996826,0.06684977071118055,0.5,0.0,0,0
1757356698.8749855,0.023919936508174353,-0.022100331279120145,-0.7453,0.0,0.0,0.19759384711559322,-0.007110452035587196,-0.7461695063218681,0.43028813541415406,0.10707143408791962,0.035614013671875,0.06983490102352063,0.5,0.0,0,0
1757356698.884589,0.030890213549900822,-0.02854836251815206,-0.746,0.0,0.0,0.14762404217641684,-0.009808071165463318,-0.7461557154881381,0.3000255248256599,1.002724430363074,0.004747629165649414,0.06675426967810336,0.5,0.0,0,0
1757356698.8990567,0.0542202344912116,-0.05004545954863573,-0.7465,0.0,0.0,0.1338194496393228,-0.015454691182044476,-0.7463094267178978,0.24528037960463075,2.2016182661285817,0.007205605506896973,0.06547326265039306,0.5,0.0,0,0
1757356698.9327836,0.07031002899619665,-0.06492069703243045,-0.7468,0.0,0.0,0.17545669820371734,-0.021930006252683175,-0.7465802851901355,0.32286062377128527,0.6511612360614584,0.01682722568511963,0.06581396384176467,0.5,0.0,0,0
1757356698.966127,0.0819612873219059,-0.07569586071839829,-0.7468,0.0,0.0,0.20910085255157596,-0.028091188489637056,-0.7467729564692828,0.3867137299565474,0.4779730435082216,0.0166013240814209,0.06603799162606712,0.5,0.0,0,0
1757356699.0016656,0.09015916342360578,-0.08346346288733279,-0.747,0.0,0.0,0.24333110210054643,-0.033520004614663854,-0.7469761870861523,0.4554640468727755,0.31997843790358155,0.01764988899230957,0.06633663685274829,0.5,0.0,0,0
1757356699.057074,0.09991593786049997,-0.0925639775586793,-0.7472,0.0,0.0,0.32716843853822597,-0.03902241250346247,-0.7472559842578003,0.6402985129977677,0.24100438701510205,0.027683496475219727,0.06804085164147981,0.5,0.0,0,0
1757356699.084219,0.11247041786281638,-0.1042838167249119,-0.7475,0.0,0.0,0.30671178843168306,-0.04431495595623804,-0.7474320239985001,0.5775437339591586,0.6362479893698016,0.013498902320861816,0.06702836820934943,0.5,0.0,0,0
1757356699.1021047,0.12691399252354404,-0.11756040319741255,-0.7478,0.0,0.0,0.2736555687209261,-0.049941410886832543,-0.7476078042605561,0.4875771306917414,1.1033487359017151,0.008891463279724121,0.0658273486605447,0.5,0.0,0,0
1757356699.132572,0.13795595086619142,-0.12779416515784064,-0.7478,0.0,0.0,0.30065972989159134,-0.05564700873555146,-0.747783441142343,0.5371343153375581,0.4951654898915697,0.015202045440673828,0.06586781063464633,0.5,0.0,0,0
1757356699.1673868,0.14867072489784763,-0.1377230112250853,-0.7476,0.0,0.0,0.3397281805723987,-0.06123573001527501,-0.7478670578523061,0.6144415154607137,0.4208357917738478,0.017357349395751953,0.06617783513410971,0.5,0.0,0,0
1757356699.1997118,0.16175466579691464,-0.14968275327293976,-0.7482,0.0,0.0,0.36323521360687405,-0.06697959879272716,-0.7480889773893593,0.6547792265465667,0.549719578273205,0.016132354736328125,0.06623504445329491,0.5,0.0,0,0
1757356699.2330952,0.17457391190715021,-0.1614743939473183,-0.7488,0.0,0.0,0.3892417333813622,-0.07286765461629333,-0.7484260918636447,0.7010833920023661,0.5236651015992431,0.016640424728393555,0.0663437954096646,0.5,0.0,0,0
1757356699.2737217,0.18385659642233446,-0.17001225331104844,-0.7484,0.0,0.0,0.4400897175367776,-0.0784256035717443,-0.7485797297107023,0.8077053725300722,0.31122815770877377,0.020271897315979004,0.06692627905189981,0.5,0.0,0,0
1757356699.3130896,0.20015574486087867,-0.18524080767683362,-0.7483,0.0,0.0,0.47438925757250483,-0.08480300273129447,-0.7486508034477641,0.8707145515490307,0.5675587166538192,0.019651293754577637,0.06723872277555627,0.5,0.0,0,0
